gate	resultado	notas
worktree	s2-fase-e-clean	PASS
base_commit	d97c2f2da	PASS	main @ T0.21 carimbo #357
git_status	docs only branch	PASS
tailwindcss_resolved	3.4.19	PASS	baseline TW3
G-A2_build_turismo	PASS	Turbopack next build
G-A5_smoke_3005	200	turismo
G-A5_health_turismo	healthy	docker
G-A5_smoke_3000	200	site-publico regressao
G-A5_smoke_3004	200	admin regressao
G-A5_smoke_3006	200	guest regressao
G-A6_api_p0	8/8 OK	run-api-p0-round1.ps1
type_check_full	DEBT 842 erros	fora escopo TW4 ignoreBuildErrors true
preflight_veredito	GO condicional	T0.22 TW4 turismo impl autorizada
proximo_marco	T0.22 impl	chore/t0.22-tw4-turismo
